=== STATUS VALUES for UI_Ready / API_Ready / DB_Verified ===,,,,,,,,,,,,,
(blank) = TODO - Not started. Pending coding.,,,,,,,,,,,,,
Done = Completed. No action needed.,,,,,,,,,,,,,
Reopened = Was Done but needs rework. Coding AI: pick this up.,,,,,,,,,,,,,
Discussion_Pending = Waiting on human decision before coding can proceed.,,,,,,,,,,,,,
Blocked = Serious obstacle - dependency missing or external issue. Cannot proceed until resolved.,,,,,,,,,,,,,
Deprecated = Archived. Intentionally dropped - do not implement.,,,,,,,,,,,,,
===,,,,,,,,,,,,,
UR_ID,Comp_ID,Label,Path,Archetype,Links_To,Trigger,API_Endpoint,DB_Tables,Notes,UI_Ready,API_Ready,DB_Verified,Polish suggestion
2.2.9,U-BREED-001,Register Breeding Program Button,/breeding,ACTION,,onClick,,,Opens modal,,,,
2.2.9,U-BREED-002,Breeding Program List Table,/breeding,DISPLAY,,onLoad,GET /api/breeding-programs,"farm.breeding_program, farm.breeding_dam, farm.goat, admin_ref.breeding_type",,,,,
2.2.9,U-BREED-003,Search Bar,/breeding,INPUT,,onChange,GET /api/breeding-programs?q=,farm.breeding_program,,,,,
2.2.9,U-BREED-004,Breeding Program Form Modal,/breeding,CONTAINER,,onOpen,,,,,,,
2.2.9,U-BREED-005,Sire ID Dropdown,/breeding,INPUT,,onChange,GET /api/goats?gender=male,farm.goat,Single selection,,,,
2.2.9,U-BREED-006,Dam ID Multi-Select,/breeding,INPUT,,onChange,GET /api/goats?gender=female,farm.goat,Multiple selection,,,,
2.2.9,U-BREED-007,Program Date Picker,/breeding,INPUT,,onChange,,,,,,,
2.2.9,U-BREED-008,Pregnancy Check Date Display (Calculated),/breeding,DISPLAY,,display,,,Auto: program_date + 30 days,,,,
2.2.9,U-BREED-009,Expected Birth Date Display (Calculated),/breeding,DISPLAY,,display,,,Auto: program_date + 150 days,,,,
2.2.9,U-BREED-010,Breeding Method Dropdown,/breeding,INPUT,,onChange,GET /api/admin/breeding-types,admin_ref.breeding_type,From admin reference,,,,
2.2.9,U-BREED-011,Save Breeding Program Button,/breeding,ACTION,,onClick,POST /api/breeding-programs,"farm.breeding_program, farm.breeding_dam, audit.audit_log",BFF validates lineage,,,,
2.2.9,U-BREED-012,Lineage Error Alert,/breeding,DISPLAY,,onError,,,Parent-offspring breeding blocked,,,,
2.2.9,U-BREED-013,Generate Birth Certificate Button,/breeding,ACTION,,onClick,POST /api/breeding-programs/:id/birth-certificate,"farm.birth_certificate, farm.breeding_program, farm.goat",PDF download,,,,
2.2.9,U-BREED-014,Edit Row Button,/breeding,ACTION,,onClick,PATCH /api/breeding-programs/:id,"farm.breeding_program, farm.breeding_dam, audit.audit_log",,,,,
2.2.9,U-BREED-015,Delete Row Button,/breeding,ACTION,,onClick,DELETE /api/breeding-programs/:id,"farm.breeding_program, farm.breeding_dam, audit.audit_log",,,,,
2.2.10,U-FEEDPRICE-001,Number of Goats Input,/calculators/feed-price,INPUT,,onChange,,,Positive integer,,,,
2.2.10,U-FEEDPRICE-002,Food per Goat (grams) Input,/calculators/feed-price,INPUT,,onChange,,,,,,,
2.2.10,U-FEEDPRICE-003,Price per kg Input,/calculators/feed-price,INPUT,,onChange,,,Currency,,,,
2.2.10,U-FEEDPRICE-004,Total Months Input,/calculators/feed-price,INPUT,,onChange,,,,,,,
2.2.10,U-FEEDPRICE-005,Calculate Button,/calculators/feed-price,ACTION,,onClick,,,Frontend calculation,,,,
2.2.10,U-FEEDPRICE-006,Total Cost Result Card,/calculators/feed-price,CONTAINER,,display,,,Formula: ((goats x food_g) / 1000) x price_kg x (months x 31),,,,
2.2.10,U-FEEDPRICE-007,Save Calculation Button,/calculators/feed-price,ACTION,,onClick,POST /api/calculators/feed-price,calc.feed_price_calculation,Stores history,,,,
2.2.10,U-FEEDPRICE-008,Calculation History Table,/calculators/feed-price,DISPLAY,,onLoad,GET /api/calculators/feed-price,calc.feed_price_calculation,,,,,
2.2.10,U-FEEDPRICE-009,Delete History Row Button,/calculators/feed-price,ACTION,,onClick,DELETE /api/calculators/feed-price/:id,calc.feed_price_calculation,Permission-based,,,,
2.2.11,U-FEEDCALC-001,Single/Custom Tab,/calculators/feed,CONTAINER,,onClick,,,Manual entry,,,,
2.2.11,U-FEEDCALC-002,All Goats Tab,/calculators/feed,CONTAINER,,onClick,,,Auto-fill from system,,,,
2.2.11,U-FEEDCALC-003,Number of Goats Input (Manual),/calculators/feed,INPUT,,onChange,,,Single/Custom tab,,,,
2.2.11,U-FEEDCALC-004,Average Weight Input (Manual),/calculators/feed,INPUT,,onChange,,,Single/Custom tab,,,,
2.2.11,U-FEEDCALC-005,Number of Goats Display (Auto),/calculators/feed,DISPLAY,,onLoad,GET /api/goats/count,farm.goat,All Goats tab,,,,
2.2.11,U-FEEDCALC-006,Average Weight Display (Auto),/calculators/feed,DISPLAY,,onLoad,GET /api/goats/avg-weight,farm.goat,All Goats tab,,,,
2.2.11,U-FEEDCALC-007,Stage Dropdown,/calculators/feed,INPUT,,onChange,,,Pembesaran/Maintenance/Pembiakan/Menyusu,,,,
2.2.11,U-FEEDCALC-008,Hay Usage Toggle,/calculators/feed,INPUT,,onChange,,,Yes/No,,,,
2.2.11,U-FEEDCALC-009,Calculate Button,/calculators/feed,ACTION,,onClick,,,Frontend calculation,,,,
2.2.11,U-FEEDCALC-010,DMI Result Card,/calculators/feed,CONTAINER,,display,,,Dry Matter Intake,,,,
2.2.11,U-FEEDCALC-011,Fresh Fodder Result Card,/calculators/feed,CONTAINER,,display,,,,,,,
2.2.11,U-FEEDCALC-012,Hay Result Card,/calculators/feed,CONTAINER,,display,,,Only if hay_usage=Yes,,,,
2.2.11,U-FEEDCALC-013,Concentrate Result Card,/calculators/feed,CONTAINER,,display,,,,,,,
2.2.11,U-FEEDCALC-014,Save Calculation Button,/calculators/feed,ACTION,,onClick,POST /api/calculators/feed,calc.feed_calculation,Stores history,,,,
2.2.11,U-FEEDCALC-015,Calculation History Table,/calculators/feed,DISPLAY,,onLoad,GET /api/calculators/feed,calc.feed_calculation,,,,,
2.2.11,U-FEEDCALC-016,Delete History Row Button,/calculators/feed,ACTION,,onClick,DELETE /api/calculators/feed/:id,calc.feed_calculation,Permission-based,,,,
